ルマン24時間耐久レース,ルマンニジュウヨジカンタイキュウレース
年間xxx,ネンカントリプルエックス
xxxエクサバイト,トリプルエックスエクサバイト
エクサバイトデータ,エクサバイトデータ
データ生成,データセイセイ
通信量,ツウシンリョウ
点巨大,テンキョダイ
巨大スパコン,キョダイスパコン
マシン内,マシンナイ
Here's,ハーエス
e'sa,エスアール
bladeout,ブレードアウト
therack,ザラック
racknow,ラックナウ
nowthat,ナウザット
thatthe,ザットザ
ona,オンアール
astick,アールスティック
stickfor,スティックフォー
ここ数,ココスウ
数日,スウニチ
人工知能未来社会,ジンコウチノウミライシャカイ
未来社会経済,ミライシャカイケイザイ
経済戦略,ケイザイセンリャク
戦略本部,センリャクホンブ
MTExcellent,エムティーエクセレント
Excellenttalk,エクセレントトーク
talkby,トークビーワイ
youdownload,ユウダウンロード
downloaded,ダウンロードイーディー
edthe,イーディーザ
SDKRC,エスディーケーアールシー
downloadhe,ダウンロードヒー
here:,ヒーアールイー
toU.,トゥユー
一位,イチイ
継続性,ケイゾクセイ
世界トップ,セカイトップ
一面,イチメン
プログラム委員長,プログラムイインチョウ
東京工業大学,トウキョウコウギョウダイガク
クラウド型,クラウドガタ
型ビッグデータ,ガタビッグデータ
ビッグデータグリーン,ビッグデータグリーン
グリーンスーパーコンピュータ,グリーンスーパーコンピュータ
意見招請,イケンショウセイ
本日開催,ホンジツカイサイ
最新事例,サイシンジレイ
研究成果,ケンキュウセイカ
フルタイム移籍,フルタイムイセキ
欧州生活,オウシュウセイカツ
キーノート2日,キーノートフツカ
2日目,フツカメ
テキサス先端,テキサスセンタン
先端計算,センタンケイサン
計算センター,ケイサンセンター
紹介映像,ショウカイエイゾウ
atthe,アットザ
toPort,トゥポート
Portland,ポートランド
米欧,ベイオウ
米国企業,ベイコクキギョウ
組込み系,クミコミケイ
数値アルゴリズム,スウチアルゴリズム
万単位,マンタンイ
スケール性,スケールセイ
HPC的,エイチピーシーテキ
日本では,ニッポンデハ
では何,デハナン
何人,ナンニン
人チャレンジ,ニンチャレンジ
ビッグデータ分野,ビッグデータブンヤ
応用分野,オウヨウブンヤ
業種参入,ギョウシュサンニュウ
評価規範,ヒョウカキハン
革新的,カクシンテキ
明日開催,アシタカイサイ
セッション中,セッションチュウ
あたり一過性,アタリイッカセイ
情報分野,ジョウホウブンヤ
支援額,シエンガク
選定校,センテイコウ
moreabout,モアアバウト
aboutSalt Lake City,アバウトソルトレイクシティー
OrangeFrance,オレンジフランス
クレジットカード決済,クレジットカードケッサイ
OrangeFrance,オレンジフランス
アメリカ放題,アメリカホウダイ
ユーロ程度,ユーロテイド
EU全域,イーユーゼンイキ
いつまでも人生,イツマデモジンセイ
人生全力,ジンセイゼンリョク
全力疾走,ゼンリョクシッソウ
外銀,ソトギン
銀勤め,ギンツトメ
データサイエンス方面,データサイエンスホウメン
スロー職種,スローショクシュ
ビジネス職,ビジネスショク
エンジニア職,エンジニアショク
ルールベース,ルールベース
最適化,サイテキカ
ディープラーニング技術者,ディープラーニングギジュツシャ
各種求人,カクシュキュウジン
求人サイト,キュウジンサイト
トップ人気,トップニンキ
人気職種,ニンキショクシュ
科学技術予算,カガクギジュツヨサン
予算拡充,ヨサンカクジュウ
資料出て,シリョウダシテ
2020年度,ニセンニジュウネンド
研究開発投資,ケンキュウカイハツトウシ
対ＧＤＰ,タイジーディーピー
ＧＤＰ比,ジーディーピーヒ
比４,ヒヨン
４％,ヨンパーセント
％以上,パーセントイジョウ
AIビッグデータ,アイビッグデータ
ビッグデータ関係,ビッグデータカンケイ
AI優遇,アイユウグウ
一元的,イチゲンテキ
兆円,チョウエン
円程度,エンテイド
政府予算,セイフヨサン
防衛費予算,ボウエイヒヨサン
兆円,チョウエン
基盤経費,キバンケイヒ
科学技術関連,カガクギジュツカンレン
関連経費,カンレンケイヒ
４兆,ヨンチョウ
兆円,チョウエン
円強,エンキョウ
研究費,ケンキュウヒ
兆円,チョウエン
研究投資,ケンキュウトウシ
全てAI,スベテアイ
研究開発費,ケンキュウカイハツヒ
費総額,ヒソウガク
2011年度,ニセンジュウイチネンド
GDP比,ジーディーピーヒ
研究開発費,ケンキュウカイハツヒ
費総額,ヒソウガク
GDP比,ジーディーピーヒ
二度,ニド
研究開発投資,ケンキュウカイハツトウシ
２０,ニゼロ
０２,ゼロニ
２０,ニゼロ
０年度,ゼロネンド
４％,ヨンパーセント
％以上,パーセントイジョウ
🎶プロフェッサー,オンププロフェッサー
ジャパニーズプロフェッサー,ジャパニーズプロフェッサー
昨日夜,キノウヨル
エクサ会合,エクサカイゴウ
殆ど機内,ホトンドキナイ
機内鑑賞,キナイカンショウ
fora,フォーアール
came.,カリフォルニアミー
me.The,ミーザ
areMay,アレメイ
onthe,オンザ
国研,クニケン
初期段階,ショキダンカイ
スタンフォード大学,スタンフォードダイガク
ノード内,ノードナイ
コア数,コアスウ
数十,スウジュウ
I/O制御,アイオーセイギョ
制御用,セイギョヨウ
数個,スウコ
信頼性確保,シンライセイカクホ
高速演算,コウソクエンザン
ASIC化,エーエスアイシーカ
数十,スウジュウ
十GB,ジュウギガバイト
結合網,ケツゴウモウ
帯域的,タイイキテキ
HDD数,エッチディーディースウ
数百,スウヒャク
百台,ヒャクダイ
台分,ダイブン
ノード内外,ノードナイガイ
結合網,ケツゴウモウ
結合網,ケツゴウモウ
十分高速,ジュウブンコウソク
デバイス間,デバイスカン
間ECC,カンイーシーシー
並列FS,ヘイレツエフエス
ようやく実用,ヨウヤクジツヨウ
実用化,ジツヨウカ
スタック技術,スタックギジュツ
コスト化,コストカ
長期的,チョウキテキ
電力一定,デンリョクイッテイ
Flash容量,フラッシュヨウリョウ
積層数,セキソウスウ
面密度,メンミツド
ビットコスト,ビットコスト
コスト差,コストサ
半導体業界,ハンドウタイギョウカイ
規模データセンター,キボデータセンター
データセンター向け,データセンタームケ
HDD業界,エイチディーディーギョウカイ
日経テクノロジー,ニッケイテクノロジー
テクノロジーオンライン,テクノロジーオンライン
三杯,サンハイ
杯程度,ハイテイド
程度シャンパン,テイドシャンパン
casenow,ケイスナウ
CERNhas,セルンハス
extendedto,エクステンデッドトゥ
toMay,トゥメイ
thatis,ザットイズ
GPUsystem f,ジーピーユーシステムエフ
x86SoC,エックスハチロクエスオーシー
SoCJV,エスオーシージェーブイ
ライセンス料,ライセンスリョウ
%売上,パーセントウリアゲ
売上増し,ウリアゲマシ
ゲームコンソール,ゲームコンソール
PS4Neo,ピーエスフォーネオ
infour,インフォー
justlike,ジャストライク
likethe,ライクザ
東瓜,ヒガシウリ
北瓜,キタウリ
Thanksfor,サンクスフォー
forthe,フォーザ
itwas,アイティーワイドエリアサーチ
itwas,アイティーワイドエリアサーチ
literally,ライトラリィ
TheNorth,ザノース
arein,アレイン
inChina,インチャイナ
Westmissing,ウエストミッシング
inKyoto,インキョウト
tothe,トゥザ
人工知能国,ジンコウチノウコク
戦略会議発足,センリャクカイギホッソク
NHKニュース,エヌエイチケイニュース
学習データ,ガクシュウデータ
マシン側,マシンガワ
上原さん,ウエハラサン
リスク管理界隈,リスクカンリカイワイ
テクノロジー企業,テクノロジーキギョウ
高賃金企業,コウチンギンキギョウ
こちらvia,コチラビア
withSpark,ウィズスパーク
Sparkin,スパークイン
inOne,インワン
福田昭,フクダアキラ
デバイス通信,デバイスツウシン
基本技術,キホンギジュツ
Japan3D,ジャパンスリーディー
Intelis,インテルイズ
bymid,ビーワイエムアイディー
%to,パーセントトゥ
forthe one,フォーザワン
aboutto,アバウトトゥ
itsworkforce,アイティエスワークフォース
workforceby,ワークフォースビーワイ
末端ユーザー,マッタンユーザー
開発対象,カイハツタイショウ
対象技術,タイショウギジュツ
産学間,サンガクカン
水平連携,スイヘイレンケイ
材料系,ザイリョウケイ
実現可能,ジツゲンカノウ
削減体質,サクゲンタイシツ
体質的,タイシツテキ
ショートコンテナ,ショートコンテナ
ロングコンテナ,ロングコンテナ
一つ増設,ヒトツゾウセツ
PascalP,パスカルピー
電力的,デンリョクテキ
大気冷却,タイキレイキャク
十分対応,ジュウブンタイオウ
マシン全体,マシンゼンタイ
